geoid,name,black_pop
24001,"Allegany County, Maryland",5954
24003,"Anne Arundel County, Maryland",96112
24005,"Baltimore County, Maryland",NA
24009,"Calvert County, Maryland",11456
24011,"Caroline County, Maryland",4589
24013,"Carroll County, Maryland",6088
24015,"Cecil County, Maryland",7032
24017,"Charles County, Maryland",76590
24019,"Dorchester County, Maryland",8216
24021,"Frederick County, Maryland",25253
24023,"Garrett County, Maryland",348
24025,"Harford County, Maryland",35208
24027,"Howard County, Maryland",61967
24029,"Kent County, Maryland",2730
24031,"Montgomery County, Maryland",193450
24033,"Prince George's County, Maryland",565972
24035,"Queen Anne's County, Maryland",2961
24037,"St. Mary's County, Maryland",16348
24039,"Somerset County, Maryland",10696
24041,"Talbot County, Maryland",4028
24043,"Washington County, Maryland",16404
24045,"Wicomico County, Maryland",27011
24047,"Worcester County, Maryland",6615
24510,"Baltimore city, Maryland",NA
