geoid,name,total_pop
24001,"Allegany County, Maryland",71002
24003,"Anne Arundel County, Maryland",575421
24005,"Baltimore County, Maryland",828193
24009,"Calvert County, Maryland",92094
24011,"Caroline County, Maryland",33260
24013,"Carroll County, Maryland",168233
24015,"Cecil County, Maryland",102889
24017,"Charles County, Maryland",161448
24019,"Dorchester County, Maryland",31994
24021,"Frederick County, Maryland",255955
24023,"Garrett County, Maryland",29155
24025,"Harford County, Maryland",253736
24027,"Howard County, Maryland",322407
24029,"Kent County, Maryland",19456
24031,"Montgomery County, Maryland",1047661
24033,"Prince George's County, Maryland",910551
24035,"Queen Anne's County, Maryland",50163
24037,"St. Mary's County, Maryland",113182
24039,"Somerset County, Maryland",25699
24041,"Talbot County, Maryland",37087
24043,"Washington County, Maryland",150575
24045,"Wicomico County, Maryland",103222
24047,"Worcester County, Maryland",51967
24510,"Baltimore city, Maryland",602274
